# Information: Nucleotide diversity (tP) and and Tajima's D (Tajima) metrics calculated for the Aedes aegypti whole genome (chromsomes 1, 2, 3) based on the previous calculations of 
# the "population scaled mutation rate" (thetas) per site with the SFS and SAF scores using the ANGSD program. Detailed information about this procedure can be found in the original published paper (see below) and at: https://github.com/naborlozada/Aaegypti_domestication
# Source dataset: This dataset is part of the Supplementary Table 6 (Table 4) [i.e. ST-6] from the published paper below and represent the original output from the ANGSD program with the thetas scores for genetic diversity (tP) and Tajima's D (Tajima) metrics:
# Lozada-Chávez AN, Lozada-Chávez I, Alfano N, Palatini U, Sogliani D, Elfekih S, Degefa T, Sharakhova MV, Badolo A, Sriwichai P, Casas-Martínez M, Carlos BC, Carballar-Lejarazú R, Lambrechts L, Souza-Neto JA, Bonizzoni M. 2025. Adaptive genomic signatures of globally invasive populations of the yellow fever mosquito Aedes aegypti. Nat Ecol Evol. doi: 10.1038/s41559-025-02643-5. PMID: 40155778.
# Questions to: Alejandro N. Lozada-Chavez, nabor.lozada@gmail.com
# NOTE: We noticed that the dataset for the "Entebbe" (ENT) population in the original ST-6 is missing, so we provided it here.
No.	Main_group	Continent	Ecotype	Country_Acronym	Population_Acronym	Population	Chrm	WinCenter	tP	Tajima	nSites	Pi_ratio
1	Africa	Africa	Aaf	BKF	DOR	Dori	1	155411395	6783261.451185	-0.783317	286721019	0.02365805435138
2	Africa	Africa	Aaf	BKF	DOR	Dori	2	237212573	10386191.791369	-0.865122	440853283	0.023559293288441
3	Africa	Africa	Aaf	BKF	DOR	Dori	3	204888834	8710096.046835	-0.859165	377438512	0.023076860918832
4	Africa	Africa	Aaf	BKF	OGD	Ouagadougou	1	155413457	6780309.600855	-0.77658	286976575	0.023626700544653
5	Africa	Africa	Aaf	BKF	OGD	Ouagadougou	2	237212614	10488016.262874	-0.822227	440738448	0.023796463209568
6	Africa	Africa	Aaf	BKF	OGD	Ouagadougou	3	204888832	8818788.753598	-0.830366	376119780	0.02344675612008
7	Africa	Africa	Aaf	BKF	OHI	Ouahigouya	1	155413457	7159850.167261	-0.953022	285540886	0.025074693391758
8	Africa	Africa	Aaf	BKF	OHI	Ouahigouya	2	237212628	11137041.374233	-0.98604	436755267	0.025499501015137
9	Africa	Africa	Aaf	BKF	OHI	Ouahigouya	3	204888833	9331564.329607	-0.985239	371093742	0.025146110735565
10	Africa	Africa	Aaf	CAM	BEN	Benoue	1	155411406	6202249.896669	-0.292917	278696745	0.022254475547136
11	Africa	Africa	Aaf	CAM	BEN	Benoue	2	237212091	9727185.940473	-0.233276	427336105	0.022762377965871
12	Africa	Africa	Aaf	CAM	BEN	Benoue	3	204888832	8466441.178201	-0.319382	365655643	0.023154137889788
13	Africa	Africa	Aaf	GAB	FRV	Franceville	1	155413505	7556216.325857	-1.061904	291644806	0.025908969302395
14	Africa	Africa	Aaf	GAB	FRV	Franceville	2	237212611	11664102.878926	-1.125574	444650075	0.026232094707116
15	Africa	Africa	Aaf	GAB	FRV	Franceville	3	204888834	9854672.114614	-1.136643	379019651	0.026000425277723
16	Africa	Africa	Aaf	GAB	LBV	Libreville	1	155411178	4205874.398273	-0.853587	19890298	0.211453563856761
17	Africa	Africa	Aaf	GAB	LBV	Libreville	2	237211817	6803879.898864	-0.861099	32253945	0.210947215878988
18	Africa	Africa	Aaf	GAB	LBV	Libreville	3	204888817	5762042.920978	-0.875725	27442676	0.209966510590221
19	Africa	Africa	Aaf	GAB	LPV	LopeVillage	1	155413457	7159719.55514	-0.868441	285634095	0.025066053669608
20	Africa	Africa	Aaf	GAB	LPV	LopeVillage	2	237212612	11222487.062979	-0.901395	434613077	0.025821788751605
21	Africa	Africa	Aaf	GAB	LPV	LopeVillage	3	204888834	9479258.975715	-0.909152	369576257	0.025648993397633
22	Africa	Africa	Aaf	GHA	BBF	BoabengFiema	1	155411205	5306038.307485	-0.063907	240509884	0.022061622662813
23	Africa	Africa	Aaf	GHA	BBF	BoabengFiema	2	237211798	8508350.507627	-0.066869	374953107	0.022691772247741
24	Africa	Africa	Aaf	GHA	BBF	BoabengFiema	3	204888834	7154609.828663	-0.074815	317308814	0.02254778157112
25	Africa	Africa	Aaf	GHA	KIN	Kintampo	1	155413452	7062691.294028	-0.916944	287638396	0.024554062991048
26	Africa	Africa	Aaf	GHA	KIN	Kintampo	2	237212613	10974646.23472	-0.974874	440568893	0.024910170484324
27	Africa	Africa	Aaf	GHA	KIN	Kintampo	3	204888834	9315623.34107	-0.988525	374163047	0.024897229739178
28	Africa	Africa	Aaf	GHA	KUM	Kumasi	1	155411367	6944215.308517	-0.902716	287992083	0.024112521553299
29	Africa	Africa	Aaf	GHA	KUM	Kumasi	2	237212614	10624838.550604	-0.937306	441017103	0.02409167009245
30	Africa	Africa	Aaf	GHA	KUM	Kumasi	3	204888832	9150803.316801	-0.954744	374190703	0.024454918958264
31	Africa	Africa	Aaf	GHA	LRB	Larabanga	1	155413448	7181773.011896	-0.799417	288028841	0.024934214875711
32	Africa	Africa	Aaf	GHA	LRB	Larabanga	2	237212625	10818436.100368	-0.814028	440911747	0.024536511385731
